Time,Amplitude,Frequency,Device,Channel,Activate
1000570000,74.42632205,103.07836536,AOM,9,
1000577500,74.24048864,102.99577273,AOM,1,
1000577500,74.24048864,102.99577273,AOM,5,
1000577500,74.24048864,102.99577273,AOM,7,
1000577500,74.24048864,102.99577273,AOM,9,
1000585000,74.05511923,102.91338632,AOM,1,
1000585000,74.05511923,102.91338632,AOM,5,
1000585000,74.05511923,102.91338632,AOM,7,
1000585000,74.05511923,102.91338632,AOM,9,
1000592500,73.87021266,102.83120563,AOM,1,
1000592500,73.87021266,102.83120563,AOM,5,
1000592500,73.87021266,102.83120563,AOM,7,
1000592500,73.87021266,102.83120563,AOM,9,
1000600000,73.68576778,102.74923012,AOM,1,
1000600000,73.68576778,102.74923012,AOM,5,
1000600000,73.68576778,102.74923012,AOM,7,
1000600000,73.68576778,102.74923012,AOM,9,
1000607500,73.50178343,102.6674593,AOM,1,
1000607500,73.50178343,102.6674593,AOM,5,
1000607500,73.50178343,102.6674593,AOM,7,
1000607500,73.50178343,102.6674593,AOM,9,
1000615000,73.31825848,102.58589266,AOM,1,
1000615000,73.31825848,102.58589266,AOM,5,
1000615000,73.31825848,102.58589266,AOM,7,
1000615000,73.31825848,102.58589266,AOM,9,
1000622500,73.13519176,102.50452967,AOM,1,
1000622500,73.13519176,102.50452967,AOM,5,
1000622500,73.13519176,102.50452967,AOM,7,
1000622500,73.13519176,102.50452967,AOM,9,
1000630000,72.95258214,102.42336984,AOM,1,
1000630000,72.95258214,102.42336984,AOM,5,
1000630000,72.95258214,102.42336984,AOM,7,
1000630000,72.95258214,102.42336984,AOM,9,
1000637500,72.77042847,102.34241265,AOM,1,
1000637500,72.77042847,102.34241265,AOM,5,
1000637500,72.77042847,102.34241265,AOM,7,
1000637500,72.77042847,102.34241265,AOM,9,
1000645000,72.58872962,102.26165761,AOM,1,
1000645000,72.58872962,102.26165761,AOM,5,
1000645000,72.58872962,102.26165761,AOM,7,
1000645000,72.58872962,102.26165761,AOM,9,
1000652500,72.40748444,102.1811042,AOM,1,
1000652500,72.40748444,102.1811042,AOM,5,
1000652500,72.40748444,102.1811042,AOM,7,
1000652500,72.40748444,102.1811042,AOM,9,
1000660000,72.22669182,102.10075192,AOM,1,
1000660000,72.22669182,102.10075192,AOM,5,
1000660000,72.22669182,102.10075192,AOM,7,
1000660000,72.22669182,102.10075192,AOM,9,
